Carrera,Universidad,Facultad,Sede,Departamento,Fecha Inicio,Fecha Finalización,Tipo de Universidad
Contaduría Pública,Universidad Católica Nuestra Señora de la Asunción,"Ciencias Contables, Administrativas e Informàtica",Concepción,Concepción,2018-11-20,2023-11-20,Privada
Derecho,Universidad Nacional de Itapúa,Ciencias Jurídicas,Encarnación,Itapúa,2018-11-20,2023-11-20,Nacional
Contaduría Pública,Universidad Nacional de Asunción,Ciencias Económicas,San Lorenzo,Central,2018-11-20,2023-11-20,Nacional
Ingeniería Civil,Universidad Nacional de Itapúa,Ingeniería,Encarnación,Itapúa,2018-11-28,2023-11-28,Nacional
Kinesiología y Fisiatría,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Itapúa,Itapúa,2018-12-10,2023-12-10,Privada
Administración de Empresas,Universidad Autónoma de Asunción,Ciencias Económicas y Empresariales,Asunción,Central,2018-12-10,2023-12-10,Privada
Enfermería,Universidad del Norte,Ciencias de la Salud,Asunción,Central,2018-12-10,2023-12-10,Privada
Enfermería,Universidad del Norte,Ciencias de la Salud,Pedro Juan Caballero,Amambay,2018-12-10,2023-12-10,Privada
Administración de Empresas,Universidad del Cono Sur de las Américas,Ciencias Empresariales,Asunción,Central,2018-12-12,2023-12-12,Privada
Contaduría Pública,Universidad Nacional de Villarrica del Espíritu Santo,Ciencias Económicas,Villarrica,Guairá,2018-12-12,2023-12-12,Nacional
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,Hernandarias,Alto Paraná,2018-12-12,2023-12-12,Privada
Análisis de Sistemas,Universidad Nacional de Canindeyu,Ciencias y Tecnología,Salto del Guairá,Canindeyu,2018-12-12,2023-12-12,Nacional
Administración Agropecuaria,Universidad Nacional de Concepción,Ciencias Agrarias,Horqueta,Concepción,2018-12-12,2023-12-12,Nacional
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,Horqueta,Concepción,2018-12-12,2023-12-12,Privada
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,Capiata,Central,2018-12-12,2023-12-12,Privada
Derecho,Universidad Católica Nuestra Señora de la Asunción,Ciencias Jurídicas y Diplomáticas,Concepción,Concepción,2018-12-12,2023-12-12,Privada
Medicina,Universidad del Pacífico Privada,Ciencias Médicas,Asunción,Central,2018-12-12,2023-12-12,Privada
Ingeniería Informática,Universidad del Norte,Comunitaria de Caacupé,Caacupé,Cordillera,2018-12-19,2023-12-19,Privada
Derecho,Universidad Nacional de Asunción,Derecho y Ciencias Sociales,Pedro Juan Caballero,Amambay,2018-12-19,2023-12-19,Nacional
Kinesiología y Fisioterapia,Universidad Privada del Este,Ciencias de la Salud,Presidente Franco,Alto Paraná,2018-12-19,2023-12-19,Privada
Derecho,Universidad Nacional de Asunción,Derecho y Ciencias Sociales,Asunción,Central,2018-12-19,2023-12-19,Nacional
Administración de Empresas,Universidad del Pacífico Privada,Ciencias de la Empresa,Asunción,Central,2018-12-19,2023-12-19,Privada
Ingeniería Ambiental,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Asunción,Central,2018-12-19,2023-12-19,Privada
Ingeniería Forestal,Universidad Nacional de Asunción,Ciencias Agrarias,San Lorenzo,Central,2018-12-19,2023-12-19,Nacional
Odontología,Universidad del Pacífico Privada,Odontología,Asunción,Central,2018-12-19,2023-12-19,Privada
Veterinaria,Universidad Católica Nuestra Señora de la Asunción,Ciencias Veterinarias,Caaguazú,Caaguazú,2018-12-19,2023-12-19,Privada
Medicina,Universidad María Auxiliadora,Ciencias de la Salud,Asunción,Central,2018-12-19,2023-12-19,Privada
Derecho,Universidad Nacional de Asunción,Derecho y Ciencias Sociales,Quiindy,Paraguarí,2018-12-19,2023-12-19,Nacional
Derecho,Universidad Nacional de Asunción,Derecho y Ciencias Sociales,Caacupé,Cordillera,2018-12-19,2023-12-19,Nacional
Ingeniería Ambiental,Universidad Nacional del Este,Ingeniería Agronómica,Minga Guazú,Alto Paraná,2018-12-19,2023-12-19,Nacional
Licenciatura en Administración,Universidad Nacional de Canindeyu,Ciencias Económicas y Empresariales,Salto del Guairá,Canindeyu,2018-12-19,2023-12-19,Nacional
Medicina,Universidad Nacional de Caaguazú,Ciencias de la Salud,Coronel Oviedo,Caaguazú,2018-12-19,2023-12-19,Nacional
Ingeniería Zootecnia,Universidad Nacional de Caaguazú,Ciencias de la Producción,Coronel Oviedo,Caaguazú,2018-12-19,2023-12-19,Nacional
Derecho,Universidad Católica Nuestra Señora de la Asunción,Ciencias Jurídicas,Alto Paraná,Alto Paraná,2019-02-06,2024-02-06,Privada
Contabilidad,Universidad San Lorenzo,"Ciencias Empresariales, Artes y Tecnológicas",San Lorenzo,Central,2019-06-24,2024-06-24,Privada
Contabilidad y Auditoría,Universidad del Cono Sur de las Américas,Contabilidad y Auditoría,Asunción,Central,2019-06-27,2024-06-24,Privada
Contaduría Pública,Universidad Americana,Ciencias Económicas y Administrativas,Asunción,Central,2019-06-27,2025-06-27,Privada
Derecho,Universidad Nacional de Asunción,Derecho,San Pedro del Ycamandyyú,San Pedro,2019-06-27,2024-06-27,Nacional
Ingeniería de Alimentos,Universidad Nacional de Asunción,Ciencias Químicas,San Lorenzo,Central,2019-07-15,2024-07-15,Nacional
Ciencias Contables y Auditoria,Universidad Internacional Tres Fronteras,Ciencias Empresariales,Ciudad del Este,Alto Paraná,2019-07-15,2024-07-15,Privada
Ciencias Informáticas,Universidad Nacional de Asunción,Politécnica,Villarrica,Guairá,2019-07-15,2024-07-15,Nacional
Ingeniería Industrial,Universidad Nacional de Asunción,Ingeniería,San Lorenzo,Central,2019-07-30,2024-07-30,Nacional
Administración de Empresas,Universidad de Desarrollo Sustentable,"Ciencias Contables, Administrativas y Económicas",Asunción,Central,2019-08-14,2024-08-14,Privada
Enfermería,Universidad Metropolitana de Asunción,Ciencias de la Salud,Asunción,Central,2019-08-28,2023-08-28,Privada
Ingeniería Agronómica,Universidad Nacional de Asunción,Ciencias Agrarias,Caazapá,Caazapá,2019-08-28,2023-08-28,Nacional
Ciencias de la Educación,Universidad Nacional de Itapúa,"Humanidades, Ciencias Sociales y Cultura Guaraní",Coronel Bogado,Itapúa,2019-08-28,2025-08-28,Nacional
Licenciatura en Administración,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,Coronel Bogado,Itapúa,2019-09-10,2025-09-10,Nacional
Ingeniería Electromecánica,Universidad Nacional de Itapúa,Ingeniería,Encarnación,Itapúa,2019-09-11,2025-09-11,Nacional
Enfermería,Universidad Privada María Serrana,Ciencias de la Salud,Asunción,Central,2019-09-11,2024-09-11,Privada
Contaduría Pública,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,Natalio,Itapúa,2019-09-11,2023-09-11,Nacional
Ciencias de la Educación,"Instituto Nacional de Educación Superior ""Dr. Raúl Peña""",Ciencias de la Educación,Asunción,Central,2019-09-25,2023-09-25,Nacional
Medicina,Universidad del Norte,Ciencias Médicas,Asunción,Central,2019-09-25,2023-09-25,Privada
Contaduría Pública,Universidad de Desarrollo Sustentable,"Ciencias Contables, Administrativas y Económicas",Asunción,Central,2019-09-25,2024-09-25,Privada
Derecho,Universidad Iberoamericana,Ciencias Sociales y Jurídicas,Asunción,Central,2019-09-25,2023-09-25,Privada
Ingeniería Informática,Universidad de la Integración de las Américas,Ingeniería,Asunción,Central,2019-10-16,2023-10-16,Privada
Licenciatura en Administración,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,María Auxiliadora,Itapúa,2019-10-16,2023-10-16,Nacional
Derecho,Universidad Gran Asunción,"Ciencias Sociales,Jurídicas y Humanidades",Central,Central,2019-10-16,2023-10-16,Privada
Nutrición,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Asunción,Central,2019-10-16,2025-10-16,Privada
Ciencias Administrativas,Universidad Tecnológica Intercontinental,Ciencias Empresariales,San Lorenzo,Central,2019-10-16,2023-10-16,Privada
Contaduría Pública,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,Coronel Bogado,Itapúa,2019-10-16,2023-10-16,Nacional
Derecho,Universidad San Lorenzo,"Ciencias Jurídicas, Políticas, Educación y Humanidades",San Lorenzo,Central,2019-10-16,2024-10-16,Privada
Derecho,Universidad Nacional de Itapúa,Ciencias Jurídicas,María Auxiliadora,Itapúa,2019-10-16,2023-10-16,Nacional
Enfermería,Universidad Santa Clara de Asís,Ciencias de la Salud,Caaguazú,Caaguazú,2019-10-30,2023-10-30,Privada
Odontología,Universidad Nacional de Caaguazú,Odontología,Coronel Oviedo,Caaguazú,2019-10-30,2023-10-30,Nacional
Derecho,Universidad Metropolitana de Asunción,"Ciencias Jurídicas,Políticas y Sociales",Asunción,Central,2019-10-30,2023-10-30,Privada
Ciencias Contables,Universidad Tecnológica Intercontinental,Ciencias Empresariales,J. Eulogio Estigarribia,Caaguazú,2019-10-30,2024-10-30,Privada
Ciencias de la Educación,Universidad Nacional de Asunción,Filosofía,San Pedro del Ycamandyyú,San Pedro,2019-10-30,2023-10-30,Nacional
Arquitectura,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Itapúa,Itapúa,2019-11-13,2024-11-13,Privada
Licenciatura en Administración de Empresas,Universidad Privada del Este,Ciencias Administrativas y Contables,Presidente Franco,Alto Paraná,2019-11-20,2024-11-20,Privada
Derecho,Universidad Católica Nuestra Señora de la Asunción,Ciencias Jurídicas,Itapúa,Itapúa,2019-11-20,2024-11-20,Privada
Derecho,Universidad Tecnológica Intercontinental,Derecho y Ciencias Sociales,Caazapá,Caazapá,2019-11-20,2023-11-20,Privada
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,María Auxiliadora,Itapúa,2019-11-27,2024-11-27,Privada
Enfermería,Universidad San Lorenzo,Ciencias de la Salud y el Deporte,San Lorenzo,Central,2019-11-27,2024-11-27,Privada
Ingeniería Civil,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Asunción,Central,2019-11-27,2024-11-27,Privada
Medicina,Universidad Privada del Este,Ciencias de la Salud,Asunción,Central,2019-11-27,2024-11-27,Privada
Ingenieria en Zootecnia,Universidad San Carlos,-,Asunción,Central,2019-11-27,2024-11-27,Privada
Contabilidad Pública,Universidad Nacional de Canindeyu,Ciencias Económicas y Empresariales,Salto del Guairá,Canindeyu,2019-11-27,2024-11-27,Nacional
Contaduría Pública,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,María Auxiliadora,Itapúa,2019-11-27,2023-11-27,Nacional
Derecho,Universidad del Norte,Derecho y Ciencias Políticas,Caacupé,Cordillera,2019-12-04,2024-12-04,Privada
Análisis de Sistemas Informáticos,Universidad de Desarrollo Sustentable,-,Asunción,Central,2019-12-04,2024-12-04,Privada
Enfermería,Universidad Nacional de Canindeyu,Ciencias de la Salud,Salto del Guairá,Canindeyu,2019-12-04,2024-12-04,Nacional
Ciencias Contables,Universidad Privada del Este,Ciencias Administrativas y Contables,Ciudad del Este,Alto Paraná,2019-12-04,2023-12-04,Privada
Administración Agropecuaria,Universidad Nacional de Asunción,Ciencias Agrarias,San Lorenzo,Central,2019-12-11,2024-12-11,Nacional
Ingeniería en Sistemas de Producción,Universidad Nacional de Asunción,Politécnica,San Lorenzo,Central,2019-12-11,2023-12-11,Nacional
Ingeniería Empresarial,Universidad Paraguayo Alemana,Ciencias Empresariales,San Lorenzo,Central,2019-12-11,2023-12-11,Privada
Arquitectura,Universidad Columbia del Paraguay,Arquitectura,Asunción-España,Central,2019-12-11,2023-12-11,Privada
Derecho,Universidad Nacional de Canindeyu,Ciencias Jurídicas y Sociales,Salto del Guairá,Canindeyu,2019-12-11,2024-12-11,Nacional
Derecho,Universidad Nacional del Este,Derecho y Ciencias Sociales,Ciudad del Este,Alto Paraná,2019-12-11,2023-12-11,Nacional
Kinesiología y Fisioterapia,Universidad Nacional de Asunción,Ciencias Médicas,San Lorenzo,Central,2019-12-11,2023-12-11,Nacional
Administración de Empresas,Universidad Católica Nuestra Señora de la Asunción,"Ciencias Contables, Administrativas e Informàtica",Concepción,Concepción,2019-12-11,2024-12-11,Privada
Enfermería,Universidad Nacional de Pilar,Ciencias Biomédicas,Pilar,Ñeembucu,2019-12-11,2025-12-11,Nacional
Abogacía,Universidad Nacional de Caaguazú,Ciencias Sociales y Políticas,Coronel Oviedo,Caaguazú,2019-12-13,2023-12-13,Nacional
Administración,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,Natalio,Itapúa,2019-12-13,2023-12-13,Nacional
Ingeniería Industrial,Universidad Paraguayo Alemana,Ingeniería,San Lorenzo,Central,2020-02-12,2024-02-12,Privada
Medicina,Universidad Politécnica y Artística del Paraguay,Ciencias de la Salud,Ciudad del Este,Alto Paraná,2020-03-11,2024-03-11,Privada
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,Caaguazú,Caaguazú,2020-04-14,2025-04-14,Privada
Farmacia,Universidad Nacional de Asunción,Ciencias Químicas,San Lorenzo,Central,2021-08-10,2027-08-10,Nacional
Bioquímica,Universidad Santa Clara de Asís,Ciencias de la Salud,Caaguazú,Caaguazú,2021-08-10,2025-08-10,Privada
Enfermería,Universidad de la Integración de las Américas,Ciencias de la Salud,Asunción,Central,2021-08-10,2027-08-10,Privada
Ingeniería Informática Empresarial,Universidad Nacional de Concepción,Ciencias Económicas y Administrativas,Concepción,Concepción,2021-08-25,2025-08-25,Nacional
Ciencias de la Educación,Universidad Nacional de Asunción,Ciencias de la Educación,Villarrica,Guairá,2021-08-25,2025-08-25,Nacional
Contabilidad,Universidad Nacional de Asunción,Ciencias Económicas,Paraguari,Paraguarí,2021-08-25,2025-08-25,Nacional
Administración,Universidad Nacional de Asunción,Ciencias Económicas,Villa Hayes,Presidente Hayes,2021-08-25,2025-08-25,Nacional
Ingeniería Informática,Universidad Nacional de Caaguazú,Ciencias y Tecnología,Coronel Oviedo,Caaguazú,2021-09-07,2025-09-07,Nacional
Administración,Universidad Nacional de Asunción,Ciencias Económicas,Paraguari,Paraguarí,2021-09-07,2025-09-07,Nacional
Administración,Universidad Nacional de Asunción,Ciencias Económicas,Coronel Oviedo,Caaguazú,2021-09-07,2025-09-07,Nacional
Ciencias de la Educación,Universidad Nacional de Asunción,Filosofía,San Juan Bautista,Misiones,2021-09-07,2025-09-07,Nacional
Nutrición,Universidad Nacional de Asunción,Ciencias Químicas,San Lorenzo,Central,2021-09-07,2027-09-07,Nacional
Odontología,Universidad del Norte,Ciencias de la Salud,Asunción,Central,2021-09-07,2027-09-07,Privada
Ingeniería Agronómica,Universidad Nacional de Concepción,Ciencias Agrarias,Concepción,Concepción,2021-09-28,2025-09-28,Nacional
Enfermería,Universidad Nacional de Asunción,Enfermerìa y Obstetricia,Quiindy,Paraguarí,2021-09-28,2025-09-28,Nacional
Administración,Universidad Nacional de Asunción,Ciencias Económicas,Villarrica,Guairá,2021-09-28,2025-09-28,Nacional
Contaduría Pública,Universidad Nacional de Asunción,Ciencias Económicas,Villa Hayes,Presidente Hayes,2021-09-28,2025-09-28,Nacional
Lic. Análisis de Sistemas Informáticos,Universidad Tecnológica Intercontinental,Tecnología Informática,Caaguazú,Caaguazú,2021-09-28,2025-09-28,Privada
Contaduría Pública,Universidad Nacional de Asunción,Ciencias Económicas,Villarrica,Guairá,2021-09-28,2025-09-28,Nacional
Ciencias Contables,Universidad Tecnológica Intercontinental,Ciencias Empresariales,Hernandarias,Alto Paraná,2021-10-11,2025-10-11,Privada
Ciencias de la Educación,Universidad Nacional de Asunción,Filosofía,Caaguazú,Caaguazú,2021-10-11,2025-10-11,Nacional
Ciencias de la Educación,Universidad Nacional de Asunción,Filosofía,Caacupé,Cordillera,2021-10-11,2025-10-11,Nacional
Contaduría Pública,Universidad Nacional de Asunción,Ciencias Económicas,Caacupé,Cordillera,2021-10-11,2025-10-11,Nacional
Derecho,Universidad Gran Asunción,"Ciencias Sociales,Jurídicas y Humanidades",ITÁ,Central,2021-10-25,2025-10-25,Privada
Derecho,Universidad Nacional de Itapúa,Ciencias Jurídicas,Natalio,Itapúa,2021-10-25,2025-10-25,Nacional
Ingeniería Informática,Universidad Internacional Tres Fronteras,Ciencias y Tecnología,Ciudad del Este,Alto Paraná,2021-11-08,2025-11-08,Privada
Ingeniería en Sistemas,Universidad de la Integración de las Américas,Facultad de Ingeniería,Asunción,Central,2021-11-08,2027-11-08,Privada
Lic. Obstetricia,Universidad Nacional de Asunción,Enfermería y Obstetricia,San Lorenzo,Central,2021-11-08,2025-11-08,Nacional
Contaduría Pública,Universidad Nacional de Asunción,Ciencias Económicas,Coronel Oviedo,Caaguazú,2021-11-08,2025-11-08,Nacional
Administración de Empresas,Universidad Metropolitana de Asunción,Economía y Ciencias Empresariales,Asunción,Central,2021-11-08,2025-11-08,Privada
Ciencias de la Educación,Universidad Nacional de Asunción,Filosofía,San Estanislao,San Pedro,2021-11-08,2025-11-08,Nacional
Administración Agraria,Universidad Comunera,Administración Agraria,Asunción,Central,2021-11-15,2025-11-15,Privada
Ciencias de la Educación,Universidad Nacional de Asunción,Filosofía,Paraguari,Paraguarí,2021-11-15,2025-11-15,Nacional
Derecho,Universidad Internacional Tres Fronteras,Ciencias Sociales y Humanidades,Ciudad del Este,Alto Paraná,2021-11-22,2025-11-22,Privada
Contabilidad,Universidad Nacional de Asunción,Ciencias Económicas,San Estanislao,San Pedro,2021-12-07,2025-12-07,Nacional
Lic. en Gestión de Turismo y Hotelería,Universidad Americana,Ciencias Económicas y Administrativas,Asunción,Central,2021-12-09,2025-12-09,Privada
Lic. en Psicología,Universidad Nacional de Itapúa,"Humanidades, Ciencias Sociales y Cultura Guaraní",Encarnación,Itapúa,2021-12-09,2025-12-09,Nacional
Lic. Comercio Internacional,Universidad Americana,Ciencias Económicas y Administrativas,Asunción,Central,2021-12-09,2025-12-09,Privada
Ingeniería Comercial,Universidad Americana,Ciencias Económicas y Administrativas,Asunción,Central,2021-12-09,2025-12-09,Privada
Odontología,Universidad Nacional de Concepción,Odontología,Concepción,Concepción,2021-12-09,2027-12-09,Nacional
Licenciatura en Enfermería,Universidad Evangélica del Paraguay,Ciencias de la Salud,Loma Plata,Boquerón,2021-12-13,2025-12-13,Privada
Contador Público Nacional,Universidad Católica Nuestra Señora de la Asunción,Ciencias Económicas,Itapúa,Itapúa,2021-12-13,2025-12-13,Privada
Ingeniería Informática,Universidad Privada del Este,Ciencias de la Informática,Presidente Franco,Alto Paraná,2021-12-13,2025-12-13,Privada
Administración de Empresas,Universidad Católica Nuestra Señora de la Asunción,Ciencias Económicas,Itapúa,Itapúa,2021-12-20,2025-12-20,Privada
Trabajo Social,Universidad Evangélica del Paraguay,Humanidades y Ciencias de la Educación,Lambaré,Central,2021-12-20,2025-12-20,Privada
Comercio Internacional,Universidad Católica Nuestra Señora de la Asunción,"Ciencias Contables, Administrativas y Económicas",Asunción,Central,2021-12-27,2025-12-27,Privada
Ing. en Marketing y Publicidad,Universidad Americana,Ciencias Económicas y Administrativas,Asunción,Central,2021-12-27,2025-12-27,Privada
Nutrición Humana,Universidad Iberoamericana,Ciencias de la Salud,Asunción,Central,2021-12-27,2025-12-27,Privada
Marketing,Universidad Católica Nuestra Señora de la Asunción,"Ciencias Contables, Administrativas y Económicas",Asunción,Central,2021-12-27,2025-12-27,Privada
Enfermería,Universidad La Paz,Enfermería,Ciudad del Este,Alto Paraná,2022-03-07,2026-03-07,Privada
Lic. en Psicología,Universidad Nacional del Este,Filosofía,Ciudad del Este,Alto Paraná,2022-03-14,2028-03-14,Nacional
Arquitectura,Universidad Americana,"Comunicación, Artes y Ciencias de la Tecnología",Asunción,Central,2022-03-14,2026-03-14,Privada
Bioquímica,Universidad San Lorenzo,Ciencias de la Salud y el Deporte,San Lorenzo,Central,2022-03-14,2026-03-14,Privada
Medicina,Universidad Santa Clara de Asís,Ciencias de la Salud,Caaguazú,Caaguazú,2022-03-14,2026-03-14,Privada
Medicina,Universidad Nacional de Concepción,Medicina,Concepción,Concepción,2022-03-28,2026-03-28,Nacional
Lic. en Psicología,Universidad Centro Médico Bautista,Ciencias Humanas,Asunción,Central,2022-05-09,2026-05-09,Privada
Ingeniería Agronómica,Universidad Católica Nuestra Señora de la Asunción,Unidad Pedagógica de Hohenau,Hohenau,Itapúa,2022-07-05,2026-07-05,Privada
Enfermería,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Guairá,Guairá,2022-07-05,2026-07-05,Privada
Enfermería,Universidad Católica Nuestra Señora de la Asunción,Unidad Pedagógica de Pedro Juan Caballero,Pedro Juan Caballero,Amambay,2022-07-18,2026-07-18,Privada
Lic. Comercio Internacional y Administración Aduanera,Universidad del Cono Sur de las Américas,Dirección de Ciencias Empresariales,Asunción,Central,2022-07-18,2026-07-18,Privada
Administración de Empresas,Universidad San Ignacio de Loyola,Ciencias Económicas y Administrativas,Asunción,Central,2022-07-18,2026-07-18,Privada
Odontología,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Itapúa,Itapúa,2022-07-18,2026-07-18,Privada
Ingeniería Informática,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Asunción,Central,2022-08-23,2026-08-23,Privada
Odontología,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Guairá,Guairá,2022-08-23,2026-08-23,Privada
Contaduría Pública,Universidad Católica Nuestra Señora de la Asunción,Ciencias Contables y Administrativas,Alto Paraná,Alto Paraná,2022-08-23,2026-08-23,Privada
Ingeniería Industrial,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Asunción,Central,2022-08-23,2028-08-23,Privada
Psicología,Universidad Iberoamericana,Ciencias Humanísticas y de la Educación,Asunción,Central,2022-09-14,2026-09-14,Privada
Agronomía,Universidad San Carlos,Ciencias Agrarias,Asunción,Central,2022-09-14,2026-09-14,Privada
Bioquímica,Universidad Católica Nuestra Señora de la Asunción,Ciencias Químicas,Guairá,Guairá,2022-09-14,2026-09-14,Privada
Ingeniería Comercial,Universidad Nacional de Concepción,Ciencias Económicas y Administrativas,Concepción,Concepción,2022-09-14,2026-09-14,Nacional
Odontología,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Alto Paraná,Alto Paraná,2022-10-10,2026-10-10,Privada
Lic. Ciencias de la Educación,Universidad Nacional de Concepción,Humanidades y Ciencias de la Educación,Concepción,Concepción,2022-10-10,2026-10-10,Nacional
Kinesiología y Fisioterapia,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Guairá,Guairá,2022-10-10,2026-10-10,Privada
Licenciatura en Administración de Empresas,Universidad Gran Asunción,Ciencias Empresariales,Capiata,Central,2022-10-12,2026-10-12,Privada
Enfermería,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Asunción,Central,2022-10-19,2026-10-19,Privada
Ingeniería Informática,Universidad Católica Nuestra Señora de la Asunción,Ciencias y Tecnología,Itapúa,Itapúa,2022-10-25,2026-10-25,Privada
Marketing,Universidad San Ignacio de Loyola,Ciencias Económicas y Administrativas,Asunción,Central,2022-10-26,2026-10-26,Privada
Licenciatura en Enfermería,Instituto Superior Profesional Avanzado,Instituto Superior Profesional Avanzado,Asunción,Central,2022-10-26,2026-10-26,Privada
